time,%CPU,%MEM
5,0.0,0.0
16,0.0,0.0
27,0.0,0.0
38,0.0,0.0
49,0.0,0.0
60,0.0,0.0
70,0.5,0.0
80,0.9,0.0
91,1.2,0.0
101,1.5,0.0
111,1.7,0.0
122,1.9,0.0
133,2.0,0.0
144,2.2,0.0
155,2.2,0.0
166,2.3,0.0
177,2.4,0.0
187,2.5,0.0
198,2.6,0.0
208,2.6,0.0
218,2.6,0.0
229,2.6,0.0
240,2.7,0.0
251,2.7,0.0
262,2.7,0.0
273,2.7,0.0
283,2.7,0.0
293,2.8,0.0
303,2.8,0.0
314,2.8,0.0
325,2.8,0.0
335,2.8,0.0
346,2.8,0.0
357,2.8,0.0
368,2.8,0.0
380,2.8,0.0
390,2.8,0.0
400,2.9,0.0
410,2.9,0.0
420,2.9,0.0
431,2.9,0.0
442,2.9,0.0
453,2.9,0.0
464,2.9,0.0
475,2.9,0.0
486,2.9,0.0
496,2.9,0.0
506,2.9,0.0
516,2.9,0.0
527,2.9,0.0
537,2.9,0.0
548,2.9,0.0
559,2.9,0.0
569,3.0,0.0
581,3.0,0.0
592,3.0,0.0
603,3.0,0.0
613,3.0,0.0
624,3.0,0.0
634,3.0,0.0
644,3.0,0.0
655,3.0,0.0
666,3.0,0.0
677,3.1,0.0
687,3.1,0.0
699,3.1,0.0
710,3.1,0.0
721,3.1,0.0
731,3.1,0.0
741,3.1,0.0
751,3.1,0.0
762,3.1,0.0
773,3.1,0.0
783,3.1,0.0
794,3.1,0.0
805,3.2,0.0
816,3.2,0.0
827,3.2,0.0
838,3.2,0.0
849,3.5,0.0
859,4.7,0.0
870,5.3,0.0
881,5.9,0.0
892,6.4,0.0
904,6.9,0.0
