Time RX-Data TX-Data Disk-Write Disk-Use
6, 670376, 670376, 0.00, 5174MB
17, 661800, 661800, 9.58, 5174MB
28, 727980, 727980, 0.00, 5173MB
39, 727980, 727980, 0.00, 5172MB
49, 661800, 661800, 12.75, 5172MB
60, 1203K, 1203K, 22691.20, 5299MB
70, 2068K, 2068K, 0.00, 5704MB
81, 1250K, 1250K, 52710.22, 6241MB
91, 829880, 829880, 9859.72, 6239MB
101, 829880, 829880, 13.53, 6239MB
112, 829880, 829880, 9856.31, 7317MB
123, 1259K, 1259K, 56.19, 7313MB
134, 1869K, 1869K, 58.68, 7313MB
145, 1308K, 1308K, 11487.43, 7313MB
156, 664440, 664440, 0.00, 7313MB
167, 730884, 730884, 9472.65, 9460MB
177, 664440, 664440, 12348.00, 9460MB
188, 996186, 996186, 130.92, 9460MB
198, 2030K, 2030K, 52872.48, 9460MB
208, 1081K, 1081K, 95.01, 9460MB
219, 1081K, 1081K, 91.20, 9460MB
229, 1081K, 1081K, 15603.09, 9460MB
240, 1190K, 1190K, 48898.01, 9460MB
251, 2102K, 2102K, 15602.40, 9460MB
263, 2465K, 2465K, 102.69, 9460MB
273, 1081K, 1081K, 16455.42, 9460MB
283, 864332, 864332, 73.65, 13772MB
293, 771080, 771080, 37941.68, 13755MB
304, 771080, 771080, 142.69, 13755MB
314, 1556K, 1556K, 38327.90, 13755MB
325, 973556, 973556, 158.78, 13755MB
336, 771080, 771080, 51881.66, 11565MB
347, 1170K, 1170K, 18182.10, 11561MB
358, 1129K, 1129K, 117.60, 11561MB
369, 1887K, 1887K, 11.90, 11561MB
380, 2325K, 2325K, 2.10, 11561MB
390, 1129K, 1129K, 54072.19, 13717MB
400, 1047K, 1047K, 477.01, 13717MB
410, 965060, 965060, 56278.96, 13708MB
421, 1061K, 1061K, 128.00, 13708MB
432, 1704K, 1704K, 54562.08, 13708MB
442, 1659K, 1659K, 19009.08, 13708MB
453, 965060, 965060, 29.48, 13708MB
464, 782224, 782224, 18854.79, 13708MB
475, 720148, 720148, 81.44, 13708MB
486, 1088K, 1088K, 18960.97, 13708MB
496, 1967K, 1967K, 129.82, 13708MB
506, 654680, 654680, 18944.29, 13708MB
517, 654680, 654680, 53.60, 18003MB
527, 704948, 704948, 18858.18, 18003MB
538, 639480, 639480, 71.06, 18003MB
548, 1539K, 1539K, 53136.25, 18003MB
559, 1652K, 1652K, 74.40, 18003MB
570, 767376, 767376, 52360.08, 18003MB
582, 639480, 639480, 18978.40, 18003MB
593, 702124, 702124, 102.99, 18003MB
603, 1174K, 1174K, 18886.57, 18003MB
614, 2087K, 2087K, 252.20, 18003MB
624, 2214K, 2214K, 19056.61, 18003MB
634, 952700, 952700, 261.08, 18003MB
645, 1034K, 1034K, 20673.00, 18003MB
656, 819460, 819460, 194.81, 18003MB
666, 819460, 819460, 53169.60, 18003MB
677, 1800K, 1800K, 204.70, 18003MB
688, 1494K, 1494K, 34.40, 18003MB
699, 901406, 901406, 18972.00, 18003MB
710, 819460, 819460, 163.67, 18003MB
721, 941170, 941170, 18847.20, 18003MB
731, 1359K, 1359K, 210.82, 18003MB
741, 2155K, 2155K, 52067.47, 26598MB
752, 1359K, 1359K, 257.88, 26598MB
762, 1018K, 1018K, 51288.00, 26598MB
773, 1120K, 1120K, 152.80, 26598MB
784, 1120K, 1120K, 52145.60, 26598MB
795, 1308K, 1308K, 18959.80, 26598MB
805, 1923K, 1923K, 75.85, 26598MB
817, 1080K, 1080K, 18981.24, 26598MB
827, 796320, 796320, 242.61, 26598MB
838, 875952, 875952, 48633.93, 5172MB
849, 931020, 931020, 0.00, 5172MB
860, 1788K, 1788K, 0.00, 5172MB
871, 2102K, 2102K, 0.80, 5172MB
882, 1065K, 1065K, 0.00, 5172MB
893, 1172K, 1172K, 0.00, 5172MB
905, 1065K, 1065K, 4.80, 5172MB
